Mean,13.9,,,
Standard Dev,1.803505359,,,
,,,,
,,,,
Date,Measurement,Mean,UCL,LCL
7/1/2020,12,13.9,19.31051608,8.489483924
7/2/2020,13,13.9,19.31051608,8.489483924
7/3/2020,15,13.9,19.31051608,8.489483924
7/4/2020,16,13.9,19.31051608,8.489483924
7/5/2020,13,13.9,19.31051608,8.489483924
7/6/2020,12,13.9,19.31051608,8.489483924
7/7/2020,15,13.9,19.31051608,8.489483924
7/8/2020,18,13.9,19.31051608,8.489483924
7/9/2020,14,13.9,19.31051608,8.489483924
7/10/2020,12,13.9,19.31051608,8.489483924
7/11/2020,13,13.9,19.31051608,8.489483924
7/12/2020,11,13.9,19.31051608,8.489483924
7/13/2020,13,13.9,19.31051608,8.489483924
7/14/2020,14,13.9,19.31051608,8.489483924
7/15/2020,16,13.9,19.31051608,8.489483924
7/16/2020,15,13.9,19.31051608,8.489483924
7/17/2020,16,13.9,19.31051608,8.489483924
7/18/2020,13,13.9,19.31051608,8.489483924
7/19/2020,12,13.9,19.31051608,8.489483924
7/20/2020,15,13.9,19.31051608,8.489483924
