index,x point,y point
0,974.7703585,746.4888028
1,978.1139753,748.4581902
2,916.2895828,712.0436766
3,936.2671942,723.8104723
4,952.8424415,733.5732786
5,935.2824468,723.230457
6,953.1225468,733.7382604
7,964.372857,740.3646834
8,964.8129035,740.6238704
9,925.9737761,717.747658
10,944.9172256,728.9053334
11,935.8536881,723.5669176
12,965.411795,740.976617
13,965.1669067,740.832378
14,928.2914882,719.1127885
15,969.9176912,743.6305859
16,918.3874413,713.2793134
17,957.2895875,736.1926438
18,929.7390389,719.9653945
19,938.7750093,725.2875733
20,919.9023355,714.1715848
21,959.4562859,737.4688273
22,967.5373209,742.2285499
23,947.0624972,730.1688965
24,945.334794,729.1512808
25,977.5727342,748.1393997
26,906.2982939,706.158816
27,949.2871727,731.4792284
28,935.9829389,723.6430462
29,941.5278309,726.9089828
30,966.3723555,741.5423863
31,910.9314249,708.8877262
32,994.9611463,761.7218503
33,977.0244203,757.7463024
34,1016.024761,778.1192101
35,1067.655992,806.146568
36,1089.815529,807.459615
37,1072.712875,789.1377802
38,1081.618842,826.871352
39,1067.661005,824.7160675
40,1133.386111,819.365626
41,1059.532966,815.7454236
42,1097.129116,824.0999627
43,1087.331562,816.3369479
44,1053.682604,778.2126746
45,960.7061953,735.1775235
46,941.3219047,730.4850587
47,938.3933981,725.0628046
48,912.9381541,708.6205916
49,836.4447177,663.7465254
50,799.7525209,658.1059418
51,850.9000662,670.9786148
52,791.3564454,638.717299
53,844.3736535,661.9481753
54,838.0365874,664.756879
55,744.5121498,620.5990155
56,786.6721893,627.5129878
57,827.1501718,666.2290644
58,767.0347537,618.3625453
59,860.5240652,672.0625528
60,840.483234,661.7715243
61,855.6283027,682.1129419
62,885.1456375,696.1557392
63,955.0447715,734.8704491
64,798.9438454,581.7077798
65,1127.290642,840.245177
66,793.4116448,692.2980172
67,1138.404062,823.3593912
68,843.5839291,671.3126228
69,1153.148786,814.5601519
70,718.075144,595.000126
71,1046.592121,838.6892605
72,884.3635809,658.7686428
73,1150.038102,782.153567
74,822.4992942,647.0914809
75,1062.684511,845.1559369
76,800.2332927,670.60827
77,1050.392303,845.0982048
78,826.1325098,616.6959402
79,1180.6411,874.4599671
80,758.2201917,633.1502428
81,1122.59924,779.9948875
82,826.3450839,613.3607481
83,1049.990778,822.2316981
84,763.4962737,654.6195053
85,984.9017937,762.7077554
86,763.3882168,686.0031762
87,1044.493801,781.9170938
88,747.7034243,602.3986445
89,1096.320583,797.2613793
90,759.2804102,665.2567805
91,1001.261432,797.4673162
92,809.1552063,584.6102298
93,1035.275881,807.1871799
94,745.6766508,641.1013062
95,1103.252317,764.5915864
96,915.4579011,708.0584668
97,907.646187,707.4161648
98,907.9544894,708.0369946
99,905.9840037,705.6737194
100,918.702387,717.0340573
101,905.1473713,704.5587865
102,915.8412668,715.0075211
103,920.7854387,712.8512827
104,922.2699869,715.4609142
105,904.8002944,704.5918991
106,902.7228116,703.8144646
107,916.5570214,716.9727687
108,909.2491227,706.9449754
109,902.2968426,703.84293
110,902.2229188,703.7407659
111,903.2310948,704.2864353
112,902.5148581,704.2410346
113,909.9025403,707.9931344
114,902.5724581,704.1526091
115,921.2131907,713.1393259
116,921.1820607,718.1071165
117,914.4517672,713.3257464
118,911.4554638,710.4517795
119,918.3946428,711.8376254
120,904.7467331,704.8167705
121,916.7459793,709.2183134
122,908.6373807,709.8607026
123,909.7349378,707.7134019
124,914.0914037,710.1533444
125,922.7634636,712.3590779
126,910.5507174,707.5663508
127,904.9702035,705.0606094
128,979.4391915,747.0488937
129,994.7536456,765.8138508
130,1001.716588,775.323962
131,1032.437839,752.7039545
132,959.8244126,720.0937983
133,1017.558355,758.3859534
134,1044.268756,771.3930328
135,1051.481854,749.34213
136,1011.00666,788.1421774
137,1027.779815,816.43105
138,1130.902079,856.9568871
139,1092.528748,790.9640105
140,1139.114622,819.9592775
141,1126.704716,771.4487325
142,1057.194329,799.8409241
143,1228.679084,826.9372722
144,1072.792312,805.6514786
145,1106.341826,886.6686405
146,1089.751781,818.2796354
147,1085.09116,819.689884
148,1082.673164,920.9457945
149,1127.525302,952.7600653
150,1319.150867,816.9574198
151,1092.437368,908.5968437
152,1390.702856,869.9814253
153,1120.481792,1018.822532
154,1183.98345,896.4355001
155,1140.629218,1012.02542
156,1446.971985,1001.867411
157,1125.882865,869.0564636
158,1431.702684,808.5423056
159,1094.828165,1054.849113
160,889.3562539,701.3414729
161,914.2088142,710.6022874
162,952.0926205,723.3755302
163,958.724668,711.9407709
164,857.4379502,672.1190792
165,876.7210738,662.3273336
166,855.7515331,631.5960983
167,890.0530758,678.7129131
168,857.8145847,683.1682255
169,882.0685052,649.7423896
170,776.5262158,656.8808221
171,746.3396812,609.7721951
172,801.4297478,677.7514927
173,791.5508311,602.736671
174,661.814377,589.7088297
175,766.1083256,650.1216133
176,876.1487359,674.1930443
177,823.2348242,599.2003111
178,648.6570139,669.2052631
179,714.6375467,612.6795715
180,690.1968193,555.5218088
181,833.0321457,557.4043896
182,777.6642043,463.0171603
183,784.9305952,480.9443178
184,523.0119553,601.425171
185,547.5398568,466.9213381
186,537.9106011,566.9893835
187,457.607207,410.7875517
188,549.3596324,541.5297169
189,396.9614919,570.7752728
190,577.5794077,480.7884019
191,592.1015411,526.9335028
192,903.4092487,704.4571709
193,920.4394724,714.4879579
194,920.4404638,714.4885419
195,927.8005123,718.8236041
196,973.4714186,745.7237283
197,930.4727743,720.397564
198,906.148502,706.0705888
199,927.2317079,718.4885788
200,939.8908487,725.9448017
201,969.9773337,743.6657153
202,921.9685317,715.3885725
203,913.0052811,710.1092257
204,938.2629822,724.9859898
205,917.7529377,712.9055913
206,1004.195016,803.5523291
207,1046.201695,817.0878399
208,1162.045652,827.0199753
209,1152.863312,800.1500076
210,1106.072805,783.7498122
211,1143.951935,848.5244982
212,1136.139184,833.5028571
213,1162.374002,855.2816573
214,1110.988994,825.3098502
215,1079.149742,846.7421195
216,1125.746843,827.1120981
217,1053.28584,799.7890278
218,1107.737405,805.8297719
219,1159.541603,843.5322677
220,1040.99096,834.7078559
221,1152.020582,788.3114434
222,1018.107722,820.0620593
223,1102.510229,830.7482259
224,923.7816758,716.4565129
225,929.8392273,720.0244054
226,970.7233212,744.1051013
227,945.6594385,729.3424962
228,955.2585289,734.9963521
229,969.1154816,743.1580852
230,964.5930908,740.4944009
231,973.5397367,745.7639676
232,910.4601762,708.6101611
233,936.1364904,723.733488
234,929.7802857,719.9896889
235,912.8748975,710.0324299
236,792.9126791,646.1177037
237,928.9234863,719.4850348
238,932.0498586,721.3264654
239,928.5618123,719.2720091
240,816.3878212,626.8169179
241,797.9979802,676.927676
242,875.616389,660.2661519
243,824.5875823,629.0987229
244,848.143174,649.0772673
245,849.6526015,668.8021168
246,841.7225591,651.0169603
247,762.5979329,617.0845728
248,848.6035503,649.3222681
249,839.6243202,662.4864291
250,857.1117093,630.6329847
251,755.2954874,608.8862406
252,802.2981419,619.6098975
253,689.5716369,620.3061303
254,757.8026515,667.4367326
255,820.6319454,671.804874
256,770.9703193,528.5427696
257,807.4521098,557.3428348
258,813.1380108,561.8314939
259,904.2415144,633.7519454
260,906.9491813,635.8894771
261,830.1794938,575.2846664
262,937.1231562,659.709921
263,957.4398006,675.7486262
264,910.490365,638.6850176
265,914.8933208,642.1608726
266,849.2219424,590.3174746
267,784.7043602,539.3849259
268,928.1844883,652.6534083
269,886.2100558,619.5172498
270,762.8071971,522.0985012
271,783.7276043,538.6138389
272,806.2230957,556.3726059
273,789.2180967,542.9482353
274,1037.099992,738.6353066
275,809.4280091,558.9026823
276,935.6431901,658.5415814
277,1078.118106,771.0165121
278,812.593153,561.4013632
279,1058.649478,755.6472627
280,1079.996017,772.4990039
281,1025.666438,729.6092396
282,1029.36339,732.5277491
283,919.7787876,646.0176395
284,1043.712819,743.8557152
285,923.3512803,648.8378964
286,1005.26437,713.5030973
287,806.0531354,556.2384331
288,924.9463772,653.5254339
289,1406.389291,965.561448
290,1291.73365,921.9939918
291,1393.60648,1040.818412
292,1382.47155,917.9906872
293,1560.316432,989.884876
294,1685.358152,1369.179401
295,1513.046748,1015.208757
296,1393.909511,1198.468493
297,1295.991384,1016.832049
298,1363.658508,923.9008442
299,1650.329665,1094.66855
300,1475.868411,1014.265311
301,1043.410709,807.3803641
302,1116.382452,777.0553931
303,1062.149257,758.4101162
304,849.0688215,561.4508179
305,560.2590981,295.1502941
306,510.6732038,364.2618466
307,676.6058974,459.9678969
